popnames	pai203_sum	numloci	painorm
CBI	65.536485574394	203	0.322839830415734
CHL	33.1693805531999	203	0.163395963316256
CLK	42.699150313008	203	0.210340641936
CPL	21.6978369310021	203	0.106885896211833
CYH	48.068228143197	199	0.241548885141694
DCK	41.9405407584982	203	0.206603649056641
DPR	29.4515233668671	203	0.145081395895897
FIS	72.7037256602763	203	0.358146431824021
FNO	37.653112445557	203	0.18548331253969
GAM	20.9188423261901	203	0.103048484365468
HBY	37.6640102086158	203	0.185536996101556
HST	28.4125339526792	203	0.139963221441769
HWK	70.2067763449822	203	0.345846188891538
KAP	19.4298310641853	203	0.0957134535181542
LON	32.9335946936867	202	0.163037597493499
LPD	32.785680591413	203	0.161505815721246
MBK	67.6034385861587	203	0.333021864956447
MMT	37.9031086612433	203	0.186714820991346
NBY	24.013980408511	203	0.118295469992665
NIC	46.7220828706256	203	0.230158043697663
OFR	41.7941774996746	203	0.205882647781648
OUT	40.5181684412476	202	0.200584992283404
RAD	35.1833030640999	203	0.173316763862561
SKN	41.712481230655	203	0.205480203106675
SLC	31.2784981363371	203	0.154081271607572
SSR	28.9605480678377	203	0.142662798363733
TIM	21.1382333394914	198	0.106758754239856
TUR	40.8000586573217	203	0.2009855106272
UMI	49.6055572364954	191	0.259714959353379
USDA10	28.481864962189	198	0.143847802839338
USDA12	35.1807177274577	194	0.181343905811638
USDA13	29.2737758066293	201	0.145640675654872
USDA14	38.8129566923571	195	0.199040803550549
USDA15	27.6462178757489	197	0.140336131348979
USDA16	25.3018252050968	196	0.129090944923963
USDA17	29.8480780638557	201	0.148497900815202
USDA18	25.3519735874688	201	0.126129221828203
USDA19	31.8186987793321	193	0.164863724245244
USDA1	29.8275415745419	196	0.152181334563989
USDA21	32.3761685381018	195	0.166031633528727
USDA2	26.6347909064727	198	0.134519145992286
USDA3	36.2953658944932	194	0.187089514920068
USDA4	30.1220996718544	199	0.151367335034444
USDA5	29.6637390709806	200	0.148318695354903
USDA6	40.6303359261979	189	0.214975322360836
USDA7	34.3195679815186	194	0.176904989595457
USDA8	31.8346298342345	179	0.177847094046003
USDA9	29.5860440298734	196	0.150949204234048
VER	35.7837004802945	196	0.182569900409666
WLK	40.644169668155	203	0.200217584572192
WTR	28.4982640901416	201	0.141782408408665
